"Month","Monthly riverflow in cms, Feather River at oroville, California, Oct.1902 ? Sep. 1977"
"1902-10",56.634
"1902-11",84.951
"1902-12",113.267
"1903-01",58.588
"1903-02",475.440
"1903-03",282.319
"1903-04",473.458
"1903-05",304.123
"1903-06",159.990
"1903-07",61.957
"1903-08",41.428
"1903-09",33.924
"1903-10",40.295
"1903-11",100.043
"1903-12",166.730
"1904-01",209.262
"1904-02",148.437
"1904-03",336.121
"1904-04",534.056
"1904-05",266.830
"1904-06",120.970
"1904-07",64.647
"1904-08",51.112
"1904-09",45.052
"1904-10",50.093
"1904-11",558.125
"1904-12",118.223
"1905-01",97.099
"1905-02",793.721
"1905-03",1125.878
"1905-04",699.143
"1905-05",525.561
"1905-06",223.109
"1905-07",86.395
"1905-08",56.775
"1905-09",64.053
"1905-10",121.536
"1905-11",77.985
"1905-12",176.301
"1906-01",293.646
"1906-02",288.832
"1906-03",403.515
"1906-04",287.133
"1906-05",216.143
"1906-06",119.497
"1906-07",51.282
"1906-08",38.256
"1906-09",36.019
"1906-10",36.331
"1906-11",37.350
"1906-12",39.247
"1907-01",410.878
"1907-02",314.317
"1907-03",611.361
"1907-04",543.400
"1907-05",496.394
"1907-06",391.056
"1907-07",133.344
"1907-08",62.297
"1907-09",48.903
"1907-10",47.572
"1907-11",62.524
"1907-12",198.614
"1908-01",201.814
"1908-02",609.945
"1908-03",1044.609
"1908-04",834.214
"1908-05",662.048
"1908-06",430.416
"1908-07",169.873
"1908-08",74.926
"1908-09",53.830
"1908-10",52.528
"1908-11",50.404
"1908-12",127.681
"1909-01",205.156
"1909-02",180.718
"1909-03",205.156
"1909-04",260.685
"1909-05",231.434
"1909-06",150.447
"1909-07",65.554
"1909-08",42.758
"1909-09",35.396
"1909-10",46.610
"1909-11",49.668
"1909-12",54.085
"1910-01",1128.710
"1910-02",520.464
"1910-03",380.295
"1910-04",449.105
"1910-05",397.002
"1910-06",257.598
"1910-07",92.568
"1910-08",50.885
"1910-09",51.480
"1910-10",55.558
"1910-11",162.737
"1910-12",230.471
"1911-01",191.082
"1911-02",225.685
"1911-03",508.288
"1911-04",358.208
"1911-05",193.914
"1911-06",74.219
"1911-07",45.307
"1911-08",38.199
"1911-09",33.159
"1911-10",36.076
"1911-11",52.783
"1911-12",96.334
"1912-01",253.691
"1912-02",289.965
"1912-03",446.840
"1912-04",852.337
"1912-05",626.369
"1912-06",443.159
"1912-07",109.445
"1912-08",46.723
"1912-09",37.123
"1912-10",37.633
"1912-11",44.259
"1912-12",40.437
"1913-01",96.844
"1913-02",77.333
"1913-03",113.239
"1913-04",118.563
"1913-05",234.209
"1913-06",121.791
"1913-07",33.301
"1913-08",27.439
"1913-09",33.556
"1913-10",28.628
"1913-11",79.627
"1913-12",49.328
"1914-01",94.918
"1914-02",75.380
"1914-03",103.583
"1914-04",284.584
"1914-05",281.979
"1914-06",115.136
"1914-07",46.610
"1914-08",33.046
"1914-09",28.628
"1914-10",29.053
"1914-11",49.186
"1914-12",162.595
"1915-01",662.331
"1915-02",415.125
"1915-03",470.909
"1915-04",516.783
"1915-05",400.967
"1915-06",199.974
"1915-07",67.507
"1915-08",51.905
"1915-09",52.188
"1915-10",58.474
"1915-11",67.394
"1915-12",85.942
"1916-01",126.916
"1916-02",405.214
"1916-03",287.133
"1916-04",373.216
"1916-05",608.529
"1916-06",237.748
"1916-07",88.519
"1916-08",60.938
"1916-09",59.097
"1916-10",57.965
"1916-11",68.045
"1916-12",115.476
"1917-01",275.410
"1917-02",453.353
"1917-03",553.878
"1917-04",521.596
"1917-05",346.881
"1917-06",166.871
"1917-07",86.197
"1917-08",66.261
"1917-09",64.336
"1917-10",73.765
"1917-11",75.181
"1917-12",129.861
"1918-01",86.536
"1918-02",275.268
"1918-03",187.939
"1918-04",449.672
"1918-05",381.994
"1918-06",202.182
"1918-07",78.240
"1918-08",66.743
"1918-09",63.317
"1918-10",61.306
"1918-11",60.995
"1918-12",66.007
"1919-01",50.829
"1919-02",94.833
"1919-03",221.381
"1919-04",277.052
"1919-05",130.909
"1919-06",52.783
"1919-07",44.061
"1919-08",46.355
"1919-09",45.902
"1919-10",64.166
"1919-11",71.755
"1919-12",71.132
"1920-01",72.491
"1920-02",241.514
"1920-03",182.559
"1920-04",392.188
"1920-05",267.481
"1920-06",78.296
"1920-07",56.436
"1920-08",53.944
"1920-09",51.508
"1920-10",56.860
"1920-11",51.140
"1920-12",66.771
"1921-01",49.073
"1921-02",51.055
"1921-03",117.402
"1921-04",202.777
"1921-05",169.222
"1921-06",65.299
"1921-07",51.112
"1921-08",43.835
"1921-09",35.877
"1921-10",44.769
"1921-11",242.222
"1921-12",232.028
"1922-01",365.571
"1922-02",282.461
"1922-03",399.834
"1922-04",329.042
"1922-05",369.252
"1922-06",188.364
"1922-07",79.712
"1922-08",52.641
"1922-09",46.836
"1922-10",45.703
"1922-11",46.185
"1922-12",87.726
"1923-01",85.036
"1923-02",199.124
"1923-03",206.288
"1923-04",393.604
"1923-05",676.773
"1923-06",314.034
"1923-07",76.257
"1923-08",49.073
"1923-09",44.203
"1923-10",46.723
"1923-11",67.507
"1923-12",176.442
"1924-01",142.859
"1924-02",102.705
"1924-03",139.659
"1924-04",268.302
"1924-05",177.660
"1924-06",86.395
"1924-07",53.406
"1924-08",48.337
"1924-09",44.939
"1924-10",48.422
"1924-11",45.930
"1924-12",42.702
"1925-01",46.355
"1925-02",126.690
"1925-03",44.288
"1925-04",60.768
"1925-05",35.283
"1925-06",26.165
"1925-07",24.126
"1925-08",27.071
"1925-09",28.090
"1925-10",42.787
"1925-11",59.834
"1925-12",62.694
"1926-01",68.102
"1926-02",351.129
"1926-03",144.048
"1926-04",218.210
"1926-05",158.008
"1926-06",77.305
"1926-07",50.234
"1926-08",47.374
"1926-09",48.507
"1926-10",47.771
"1926-11",54.878
"1926-12",60.825
"1927-01",67.479
"1927-02",286.567
"1927-03",157.640
"1927-04",361.606
"1927-05",118.223
"1927-06",54.765
"1927-07",52.188
"1927-08",51.395
"1927-09",52.698
"1927-10",48.648
"1927-11",192.555
"1927-12",121.961
"1928-01",149.400
"1928-02",601.733
"1928-03",309.503
"1928-04",392.188
"1928-05",275.495
"1928-06",131.220
"1928-07",59.692
"1928-08",52.641
"1928-09",50.659
"1928-10",51.367
"1928-11",107.094
"1928-12",72.066
"1929-01",90.501
"1929-02",163.133
"1929-03",589.840
"1929-04",288.832
"1929-05",142.490
"1929-06",60.060
"1929-07",55.954
"1929-08",47.204
"1929-09",40.153
"1929-10",43.466
"1929-11",47.487
"1929-12",52.924
"1930-01",55.898
"1930-02",99.052
"1930-03",129.889
"1930-04",123.575
"1930-05",143.793
"1930-06",71.075
"1930-07",54.482
"1930-08",61.816
"1930-09",60.457
"1930-10",60.372
"1930-11",48.677
"1930-12",359.624
"1931-01",131.900
"1931-02",181.398
"1931-03",249.358
"1931-04",251.171
"1931-05",158.603
"1931-06",73.596
"1931-07",53.434
"1931-08",53.604
"1931-09",61.872
"1931-10",66.290
"1931-11",69.971
"1931-12",62.722
"1932-01",85.489
"1932-02",71.670
"1932-03",99.336
"1932-04",61.391
"1932-05",47.686
"1932-06",35.821
"1932-07",34.688
"1932-08",33.414
"1932-09",31.857
"1932-10",34.688
"1932-11",39.644
"1932-12",108.057
"1933-01",93.417
"1933-02",83.620
"1933-03",215.973
"1933-04",240.467
"1933-05",248.764
"1933-06",114.202
"1933-07",56.294
"1933-08",46.751
"1933-09",29.903
"1933-10",21.096
"1933-11",24.154
"1933-12",38.030
"1934-01",54.906
"1934-02",48.535
"1934-03",96.192
"1934-04",129.436
"1934-05",141.018
"1934-06",97.495
"1934-07",44.882
"1934-08",39.672
"1934-09",33.216
"1934-10",44.259
"1934-11",45.675
"1934-12",75.125
"1935-01",107.094
"1935-02",132.268
"1935-03",134.873
"1935-04",98.429
"1935-05",63.911
"1935-06",45.817
"1935-07",43.466
"1935-08",40.918
"1935-09",38.284
"1935-10",39.785
"1935-11",58.814
"1935-12",56.917
"1936-01",111.880
"1936-02",102.734
"1936-03",138.894
"1936-04",607.963
"1936-05",372.367
"1936-06",164.068
"1936-07",58.531
"1936-08",59.041
"1936-09",46.666
"1936-10",48.648
"1936-11",43.721
"1936-12",63.147
"1937-01",271.870
"1937-02",430.416
"1937-03",270.624
"1937-04",287.699
"1937-05",202.975
"1937-06",119.214
"1937-07",63.486
"1937-08",61.079
"1937-09",59.777
"1937-10",49.186
"1937-11",38.313
"1937-12",36.416
"1938-01",38.964
"1938-02",109.700
"1938-03",201.021
"1938-04",296.477
"1938-05",290.814
"1938-06",115.589
"1938-07",60.541
"1938-08",44.599
"1938-09",44.174
"1938-10",57.710
"1938-11",147.587
"1938-12",498.377
"1939-01",148.437
"1939-02",422.771
"1939-03",613.343
"1939-04",692.064
"1939-05",712.169
"1939-06",325.927
"1939-07",94.408
"1939-08",67.139
"1939-09",65.242
"1939-10",59.380
"1939-11",67.281
"1939-12",85.375
"1940-01",68.385
"1940-02",71.189
"1940-03",122.867
"1940-04",128.615
"1940-05",58.927
"1940-06",41.484
"1940-07",41.343
"1940-08",45.364
"1940-09",42.022
"1940-10",39.927
"1940-11",33.102
"1940-12",48.762
"1941-01",268.246
"1941-02",535.472
"1941-03",655.818
"1941-04",457.600
"1941-05",193.404
"1941-06",84.809
"1941-07",54.170
"1941-08",51.338
"1941-09",61.702
"1941-10",67.338
"1941-11",70.084
"1941-12",276.967
"1942-01",325.077
"1942-02",538.303
"1942-03",418.806
"1942-04",385.392
"1942-05",443.159
"1942-06",176.301
"1942-07",77.985
"1942-08",57.908
"1942-09",53.151
"1942-10",53.604
"1942-11",66.516
"1942-12",341.784
"1943-01",397.002
"1943-02",550.196
"1943-03",226.280
"1943-04",470.909
"1943-05",392.188
"1943-06",247.772
"1943-07",89.736
"1943-08",62.552
"1943-09",64.761
"1943-10",65.610
"1943-11",98.316
"1943-12",175.621
"1944-01",432.682
"1944-02",291.380
"1944-03",526.410
"1944-04",395.303
"1944-05",203.258
"1944-06",134.194
"1944-07",63.317
"1944-08",55.954
"1944-09",46.723
"1944-10",49.470
"1944-11",57.370
"1944-12",56.690
"1945-01",61.957
"1945-02",114.570
"1945-03",183.125
"1945-04",212.971
"1945-05",232.934
"1945-06",90.104
"1945-07",63.345
"1945-08",58.984
"1945-09",46.751
"1945-10",45.109
"1945-11",89.906
"1945-12",124.226
"1946-01",95.060
"1946-02",363.022
"1946-03",159.622
"1946-04",217.445
"1946-05",234.718
"1946-06",110.691
"1946-07",65.044
"1946-08",59.041
"1946-09",57.766
"1946-10",61.957
"1946-11",98.599
"1946-12",384.543
"1947-01",263.177
"1947-02",136.091
"1947-03",182.644
"1947-04",266.178
"1947-05",203.542
"1947-06",86.706
"1947-07",67.281
"1947-08",64.761
"1947-09",54.199
"1947-10",44.967
"1947-11",77.673
"1947-12",73.879
"1948-01",38.228
"1948-02",151.892
"1948-03",202.182
"1948-04",162.680
"1948-05",81.694
"1948-06",68.357
"1948-07",62.524
"1948-08",60.938
"1948-09",47.940
"1948-10",55.699
"1948-11",53.887
"1948-12",49.555
"1949-01",162.850
"1949-02",76.937
"1949-03",107.859
"1949-04",389.357
"1949-05",315.450
"1949-06",195.613
"1949-07",69.150
"1949-08",52.103
"1949-09",50.064
"1949-10",64.393
"1949-11",56.407
"1949-12",53.377
"1950-01",54.085
"1950-02",77.843
"1950-03",193.829
"1950-04",267.170
"1950-05",184.796
"1950-06",70.849
"1950-07",59.465
"1950-08",55.048
"1950-09",33.102
"1950-10",29.704
"1950-11",32.310
"1950-12",31.205
"1951-01",134.902
"1951-02",272.890
"1951-03",239.476
"1951-04",348.014
"1951-05",269.945
"1951-06",117.175
"1951-07",58.984
"1951-08",51.310
"1951-09",53.944
"1951-10",86.706
"1951-11",338.103
"1951-12",489.598
"1952-01",308.371
"1952-02",393.038
"1952-03",235.426
"1952-04",232.113
"1952-05",208.582
"1952-06",85.460
"1952-07",63.288
"1952-08",55.048
"1952-09",53.349
"1952-10",67.507
"1952-11",93.247
"1952-12",285.434
"1953-01",260.175
"1953-02",447.973
"1953-03",335.555
"1953-04",822.605
"1953-05",664.030
"1953-06",313.751
"1953-07",125.472
"1953-08",80.930
"1953-09",74.332
"1953-10",72.774
"1953-11",72.973
"1953-12",132.268
"1954-01",544.816
"1954-02",167.579
"1954-03",185.900
"1954-04",315.450
"1954-05",318.848
"1954-06",246.215
"1954-07",99.874
"1954-08",77.701
"1954-09",76.257
"1954-10",76.540
"1954-11",101.799
"1954-12",89.934
"1955-01",123.773
"1955-02",229.990
"1955-03",321.396
"1955-04",417.957
"1955-05",210.253
"1955-06",112.163
"1955-07",82.714
"1955-08",77.305
"1955-09",76.484
"1955-10",78.749
"1955-11",100.553
"1955-12",115.618
"1956-01",66.460
"1956-02",56.605
"1956-03",93.191
"1956-04",129.833
"1956-05",196.066
"1956-06",85.347
"1956-07",57.172
"1956-08",51.792
"1956-09",43.778
"1956-10",44.288
"1956-11",57.370
"1956-12",804.482
"1957-01",567.187
"1957-02",351.978
"1957-03",351.412
"1957-04",371.517
"1957-05",404.648
"1957-06",202.635
"1957-07",91.209
"1957-08",81.751
"1957-09",80.193
"1957-10",89.226
"1957-11",91.463
"1957-12",62.297
"1958-01",74.219
"1958-02",296.194
"1958-03",276.373
"1958-04",166.503
"1958-05",242.789
"1958-06",110.096
"1958-07",63.005
"1958-08",55.869
"1958-09",67.366
"1958-10",92.879
"1958-11",104.291
"1958-12",161.548
"1959-01",175.480
"1959-02",676.490
"1959-03",365.004
"1959-04",547.648
"1959-05",486.767
"1959-06",265.810
"1959-07",104.942
"1959-08",76.144
"1959-09",72.463
"1959-10",66.148
"1959-11",80.250
"1959-12",80.108
"1960-01",169.901
"1960-02",212.263
"1960-03",184.569
"1960-04",167.324
"1960-05",110.407
"1960-06",65.072
"1960-07",69.065
"1960-08",54.170
"1960-09",40.437
"1960-10",51.848
"1960-11",47.176
"1960-12",45.250
"1961-01",63.798
"1961-02",292.513
"1961-03",300.442
"1961-04",196.038
"1961-05",125.982
"1961-06",92.596
"1961-07",73.652
"1961-08",64.308
"1961-09",45.930

Monthly riverflow in cms, Feather River at oroville, California, Oct.1902 ? Sep. 1977

