"Month","Monthly riverflow in cms, N. Magnetawan River at burks falls, 1916 ? Sep. 1977"
"1916-01",5.38
"1916-02",8.01
"1916-03",4.19
"1916-04",24.32
"1916-05",14.58
"1916-06",9.80
"1916-07",2.72
"1916-08",0.85
"1916-09",1.97
"1916-10",6.37
"1916-11",7.99
"1916-12",11.33
"1917-01",2.83
"1917-02",2.56
"1917-03",2.89
"1917-04",21.18
"1917-05",10.36
"1917-06",5.95
"1917-07",10.25
"1917-08",2.29
"1917-09",1.19
"1917-10",3.71
"1917-11",4.16
"1917-12",2.12
"1918-01",1.24
"1918-02",1.00
"1918-03",3.85
"1918-04",16.85
"1918-05",9.26
"1918-06",3.85
"1918-07",1.87
"1918-08",1.16
"1918-09",2.19
"1918-10",8.24
"1918-11",7.79
"1918-12",7.39
"1919-01",4.50
"1919-02",2.62
"1919-03",8.33
"1919-04",18.18
"1919-05",13.90
"1919-06",6.00
"1919-07",1.18
"1919-08",1.14
"1919-09",1.84
"1919-10",3.57
"1919-11",8.86
"1919-12",7.25
"1920-01",2.27
"1920-02",1.68
"1920-03",9.63
"1920-04",15.86
"1920-05",9.43
"1920-06",2.40
"1920-07",3.20
"1920-08",1.44
"1920-09",1.83
"1920-10",2.23
"1920-11",5.83
"1920-12",5.89
"1921-01",4.87
"1921-02",2.74
"1921-03",19.28
"1921-04",16.82
"1921-05",6.48
"1921-06",2.60
"1921-07",1.16
"1921-08",1.63
"1921-09",0.82
"1921-10",1.83
"1921-11",5.04
"1921-12",8.50
"1922-01",3.62
"1922-02",3.03
"1922-03",5.24
"1922-04",29.45
"1922-05",6.65
"1922-06",2.11
"1922-07",2.80
"1922-08",1.48
"1922-09",0.77
"1922-10",0.98
"1922-11",2.23
"1922-12",2.01
"1923-01",1.50
"1923-02",1.33
"1923-03",1.86
"1923-04",20.61
"1923-05",19.74
"1923-06",5.47
"1923-07",1.33
"1923-08",0.86
"1923-09",1.78
"1923-10",0.95
"1923-11",1.76
"1923-12",5.21
"1924-01",2.40
"1924-02",2.24
"1924-03",3.31
"1924-04",17.70
"1924-05",18.86
"1924-06",5.30
"1924-07",1.28
"1924-08",1.03
"1924-09",0.89
"1924-10",1.31
"1924-11",1.44
"1924-12",3.31
"1925-01",1.51
"1925-02",2.56
"1925-03",4.30
"1925-04",23.47
"1925-05",7.08
"1925-06",6.20
"1925-07",2.68
"1925-08",0.96
"1925-09",0.69
"1925-10",1.26
"1925-11",5.38
"1925-12",4.76
"1926-01",2.34
"1926-02",1.95
"1926-03",1.55
"1926-04",6.65
"1926-05",25.23
"1926-06",6.65
"1926-07",5.21
"1926-08",1.72
"1926-09",1.21
"1926-10",1.68
"1926-11",15.26
"1926-12",6.09
"1927-01",2.38
"1927-02",2.21
"1927-03",9.29
"1927-04",12.09
"1927-05",8.92
"1927-06",6.34
"1927-07",4.22
"1927-08",1.87
"1927-09",0.94
"1927-10",3.79
"1927-11",7.84
"1927-12",7.14
"1928-01",4.33
"1928-02",2.92
"1928-03",3.57
"1928-04",32.56
"1928-05",17.90
"1928-06",8.21
"1928-07",6.20
"1928-08",6.80
"1928-09",6.77
"1928-10",19.34
"1928-11",10.22
"1928-12",6.20
"1929-01",5.18
"1929-02",3.68
"1929-03",7.65
"1929-04",30.87
"1929-05",15.74
"1929-06",4.53
"1929-07",2.14
"1929-08",1.06
"1929-09",0.93
"1929-10",1.07
"1929-11",2.00
"1929-12",1.59
"1930-01",2.46
"1930-02",3.20
"1930-03",4.67
"1930-04",16.79
"1930-05",9.88
"1930-06",5.41
"1930-07",2.40
"1930-08",1.06
"1930-09",1.15
"1930-10",1.27
"1930-11",1.82
"1930-12",1.42
"1931-01",0.99
"1931-02",0.85
"1931-03",1.04
"1931-04",14.02
"1931-05",6.65
"1931-06",1.87
"1931-07",1.29
"1931-08",0.59
"1931-09",0.78
"1931-10",1.51
"1931-11",4.33
"1931-12",4.53
"1932-01",9.49
"1932-02",5.75
"1932-03",3.09
"1932-04",17.16
"1932-05",6.77
"1932-06",3.00
"1932-07",2.08
"1932-08",1.10
"1932-09",3.28
"1932-10",11.69
"1932-11",12.43
"1932-12",7.59
"1933-01",6.74
"1933-02",3.57
"1933-03",2.31
"1933-04",25.15
"1933-05",7.02
"1933-06",2.94
"1933-07",1.21
"1933-08",0.83
"1933-09",0.68
"1933-10",1.67
"1933-11",2.38
"1933-12",3.00
"1934-01",2.72
"1934-02",2.38
"1934-03",2.25
"1934-04",19.00
"1934-05",15.26
"1934-06",3.68
"1934-07",1.77
"1934-08",0.84
"1934-09",1.06
"1934-10",1.76
"1934-11",6.03
"1934-12",5.41
"1935-01",2.29
"1935-02",2.01
"1935-03",5.52
"1935-04",14.61
"1935-05",7.08
"1935-06",6.14
"1935-07",7.14
"1935-08",2.32
"1935-09",0.90
"1935-10",2.06
"1935-11",4.81
"1935-12",3.23
"1936-01",1.47
"1936-02",0.96
"1936-03",3.51
"1936-04",13.88
"1936-05",16.37
"1936-06",4.28
"1936-07",1.02
"1936-08",0.62
"1936-09",1.83
"1936-10",5.95
"1936-11",7.70
"1936-12",5.24
"1937-01",13.76
"1937-02",5.30
"1937-03",3.62
"1937-04",18.80
"1937-05",10.73
"1937-06",3.20
"1937-07",1.15
"1937-08",0.91
"1937-09",1.16
"1937-10",2.54
"1937-11",7.99
"1937-12",3.48
"1938-01",2.21
"1938-02",3.68
"1938-03",11.41
"1938-04",21.89
"1938-05",8.24
"1938-06",3.09
"1938-07",1.46
"1938-08",0.97
"1938-09",1.83
"1938-10",2.08
"1938-11",3.14
"1938-12",3.06
"1939-01",3.03
"1939-02",2.38
"1939-03",2.58
"1939-04",19.23
"1939-05",15.09
"1939-06",3.28
"1939-07",1.46
"1939-08",1.49
"1939-09",1.11
"1939-10",3.14
"1939-11",4.96
"1939-12",2.21
"1940-01",1.27
"1940-02",0.91
"1940-03",0.79
"1940-04",9.34
"1940-05",15.52
"1940-06",5.38
"1940-07",2.15
"1940-08",3.17
"1940-09",4.81
"1940-10",4.79
"1940-11",8.07
"1940-12",4.87
"1941-01",3.54
"1941-02",1.95
"1941-03",1.53
"1941-04",24.41
"1941-05",5.10
"1941-06",1.77
"1941-07",1.06
"1941-08",0.99
"1941-09",0.87
"1941-10",4.33
"1941-11",11.92
"1941-12",5.13
"1942-01",3.40
"1942-02",1.73
"1942-03",5.61
"1942-04",24.35
"1942-05",11.50
"1942-06",3.60
"1942-07",0.89
"1942-08",0.46
"1942-09",1.45
"1942-10",3.34
"1942-11",9.40
"1942-12",3.65
"1943-01",2.38
"1943-02",1.76
"1943-03",2.07
"1943-04",18.29
"1943-05",21.55
"1943-06",7.90
"1943-07",2.97
"1943-08",1.61
"1943-09",2.92
"1943-10",1.86
"1943-11",4.50
"1943-12",2.41
"1944-01",1.61
"1944-02",1.47
"1944-03",1.53
"1944-04",14.13
"1944-05",10.93
"1944-06",2.21
"1944-07",1.49
"1944-08",0.85
"1944-09",1.33
"1944-10",5.58
"1944-11",3.91
"1944-12",2.75
"1945-01",1.64
"1945-02",1.33
"1945-03",14.64
"1945-04",11.16
"1945-05",8.50
"1945-06",6.65
"1945-07",1.55
"1945-08",0.56
"1945-09",0.80
"1945-10",4.33
"1945-11",6.17
"1945-12",2.49
"1946-01",6.31
"1946-02",3.23
"1946-03",16.57
"1946-04",9.68
"1946-05",5.86
"1946-06",2.97
"1946-07",1.01
"1946-08",0.62
"1946-09",0.60
"1946-10",0.87
"1946-11",3.48
"1946-12",6.31
"1947-01",3.48
"1947-02",2.72
"1947-03",2.56
"1947-04",28.88
"1947-05",19.68
"1947-06",8.10
"1947-07",5.41
"1947-08",2.28
"1947-09",2.69
"1947-10",2.52
"1947-11",4.73
"1947-12",3.88
"1948-01",2.32
"1948-02",1.56
"1948-03",8.61
"1948-04",22.74
"1948-05",10.90
"1948-06",3.06
"1948-07",1.12
"1948-08",0.82
"1948-09",0.56
"1948-10",2.14
"1948-11",8.66
"1948-12",5.01
"1949-01",5.07
"1949-02",4.42
"1949-03",7.11
"1949-04",25.40
"1949-05",8.21
"1949-06",4.19
"1949-07",2.00
"1949-08",0.92
"1949-09",0.69
"1949-10",1.26
"1949-11",2.08
"1949-12",6.68
"1950-01",10.85
"1950-02",4.25
"1950-03",3.96
"1950-04",14.30
"1950-05",7.65
"1950-06",3.82
"1950-07",1.34
"1950-08",2.53
"1950-09",2.78
"1950-10",1.53
"1950-11",6.48
"1950-12",5.95
"1951-01",4.42
"1951-02",3.09
"1951-03",5.41
"1951-04",35.96
"1951-05",9.17
"1951-06",2.27
"1951-07",2.05
"1951-08",1.16
"1951-09",0.99
"1951-10",5.30
"1951-11",11.27
"1951-12",6.54
"1952-01",5.01
"1952-02",3.85
"1952-03",2.76
"1952-04",24.41
"1952-05",7.42
"1952-06",2.94
"1952-07",1.63
"1952-08",2.39
"1952-09",4.19
"1952-10",1.70
"1952-11",3.57
"1952-12",6.43
"1953-01",3.45
"1953-02",3.94
"1953-03",14.10
"1953-04",12.29
"1953-05",6.46
"1953-06",2.83
"1953-07",1.20
"1953-08",0.58
"1953-09",1.47
"1953-10",2.38
"1953-11",3.06
"1953-12",5.80
"1954-01",3.14
"1954-02",3.17
"1954-03",8.44
"1954-04",20.81
"1954-05",8.78
"1954-06",9.40
"1954-07",2.23
"1954-08",1.48
"1954-09",2.21
"1954-10",14.19
"1954-11",7.93
"1954-12",4.98
"1955-01",3.20
"1955-02",2.67
"1955-03",3.68
"1955-04",23.30
"1955-05",4.79
"1955-06",2.21
"1955-07",0.95
"1955-08",0.68
"1955-09",0.56
"1955-10",2.09
"1955-11",6.60
"1955-12",2.79
"1956-01",1.51
"1956-02",1.12
"1956-03",1.38
"1956-04",13.00
"1956-05",12.94
"1956-06",4.70
"1956-07",2.97
"1956-08",2.41
"1956-09",8.72
"1956-10",4.98
"1956-11",5.24
"1956-12",4.39
"1957-01",3.51
"1957-02",3.37
"1957-03",4.19
"1957-04",15.29
"1957-05",7.93
"1957-06",5.44
"1957-07",11.55
"1957-08",0.90
"1957-09",4.81
"1957-10",7.62
"1957-11",11.02
"1957-12",10.25
"1958-01",4.81
"1958-02",2.61
"1958-03",2.28
"1958-04",12.54
"1958-05",4.13
"1958-06",3.43
"1958-07",7.11
"1958-08",1.32
"1958-09",1.71
"1958-10",4.13
"1958-11",4.13
"1958-12",2.78
"1959-01",2.53
"1959-02",2.20
"1959-03",2.53
"1959-04",23.16
"1959-05",10.90
"1959-06",2.81
"1959-07",1.47
"1959-08",1.88
"1959-09",2.37
"1959-10",6.20
"1959-11",12.09
"1959-12",6.68
"1960-01",3.06
"1960-02",2.92
"1960-03",2.56
"1960-04",27.61
"1960-05",13.68
"1960-06",3.62
"1960-07",3.88
"1960-08",1.89
"1960-09",1.04
"1960-10",1.51
"1960-11",5.10
"1960-12",3.43
"1961-01",2.27
"1961-02",1.44
"1961-03",2.31
"1961-04",13.96
"1961-05",7.84
"1961-06",3.48
"1961-07",3.62
"1961-08",1.99
"1961-09",1.37
"1961-10",1.48
"1961-11",3.23
"1961-12",5.83
"1962-01",2.74
"1962-02",1.81
"1962-03",2.00
"1962-04",17.33
"1962-05",9.03
"1962-06",2.23
"1962-07",1.09
"1962-08",0.58
"1962-09",0.43
"1962-10",0.85
"1962-11",1.47
"1962-12",1.56
"1963-01",1.38
"1963-02",1.15
"1963-03",2.13
"1963-04",17.56
"1963-05",8.04
"1963-06",3.99
"1963-07",1.32
"1963-08",1.42
"1963-09",1.50
"1963-10",1.17
"1963-11",2.40
"1963-12",2.81
"1964-01",2.10
"1964-02",2.08
"1964-03",3.45
"1964-04",12.23
"1964-05",6.43
"1964-06",2.09
"1964-07",0.71
"1964-08",0.59
"1964-09",2.73
"1964-10",2.21
"1964-11",2.30
"1964-12",5.32
"1965-01",3.65
"1965-02",1.81
"1965-03",2.40
"1965-04",8.83
"1965-05",19.88
"1965-06",2.12
"1965-07",1.90
"1965-08",2.72
"1965-09",3.68
"1965-10",8.10
"1965-11",8.41
"1965-12",7.90
"1966-01",6.12
"1966-02",3.60
"1966-03",4.76
"1966-04",14.64
"1966-05",7.42
"1966-06",6.03
"1966-07",1.40
"1966-08",0.70
"1966-09",0.62
"1966-10",1.97
"1966-11",7.16
"1966-12",11.04
"1967-01",3.37
"1967-02",3.14
"1967-03",1.95
"1967-04",22.37
"1967-05",5.86
"1967-06",6.91
"1967-07",2.47
"1967-08",1.06
"1967-09",0.98
"1967-10",5.41
"1967-11",12.09
"1967-12",6.26
"1968-01",3.28
"1968-02",4.39
"1968-03",3.54
"1968-04",17.36
"1968-05",4.70
"1968-06",3.40
"1968-07",2.86
"1968-08",1.68
"1968-09",2.53
"1968-10",1.51
"1968-11",2.24
"1968-12",3.79
"1969-01",2.62
"1969-02",2.55
"1969-03",2.49
"1969-04",18.80
"1969-05",14.50
"1969-06",5.35
"1969-07",3.17
"1969-08",2.76
"1969-09",4.33
"1969-10",5.75
"1969-11",11.52
"1969-12",5.01
"1970-01",2.52
"1970-02",2.13
"1970-03",1.99
"1970-04",17.90
"1970-05",11.44
"1970-06",5.01
"1970-07",8.81
"1970-08",2.75
"1970-09",2.89
"1970-10",5.97
"1970-11",5.27
"1970-12",5.24
"1971-01",2.52
"1971-02",1.64
"1971-03",2.67
"1971-04",21.75
"1971-05",10.96
"1971-06",3.62
"1971-07",1.60
"1971-08",1.68
"1971-09",1.61
"1971-10",1.95
"1971-11",3.40
"1971-12",6.20
"1972-01",2.67
"1972-02",1.65
"1972-03",1.43
"1972-04",15.69
"1972-05",18.18
"1972-06",5.86
"1972-07",4.53
"1972-08",4.56
"1972-09",2.74
"1972-10",4.39
"1972-11",6.09
"1972-12",3.14
"1973-01",3.28
"1973-02",2.79
"1973-03",14.19
"1973-04",16.00
"1973-05",8.10
"1973-06",4.96
"1973-07",3.65
"1973-08",3.28
"1973-09",1.63
"1973-10",3.17
"1973-11",4.50
"1973-12",5.89
"1974-01",3.60
"1974-02",3.94
"1974-03",4.22
"1974-04",21.69
"1974-05",12.29
"1974-06",4.79
"1974-07",2.34
"1974-08",1.36
"1974-09",1.48
"1974-10",5.04
"1974-11",9.06
"1974-12",4.39
"1975-01",3.57
"1975-02",2.71
"1975-03",3.71
"1975-04",15.23
"1975-05",13.54
"1975-06",2.51
"1975-07",1.30
"1975-08",1.08
"1975-09",3.82
"1975-10",5.38
"1975-11",5.47
"1975-12",9.60
"1976-01",2.64
"1976-02",2.33
"1976-03",12.83
"1976-04",20.87
"1976-05",8.83
"1976-06",3.06
"1976-07",2.68
"1976-08",0.80
"1976-09",0.89
"1976-10",1.53
"1976-11",2.33
"1976-12",3.28

Monthly riverflow in cms, N. Magnetawan River at burks falls, 1916 ? Sep. 1977

