Year,"Annual unemployment, U.S., 1890 to 1970"
1890,4
1891,5.4
1892,3
1893,11.7
1894,18.4
1895,13.7
1896,14.4
1897,14.5
1898,12.4
1899,6.5
1900,5
1901,4
1902,3.7
1903,3.9
1904,5.4
1905,4.3
1906,1.7
1907,2.8
1908,8
1909,5.1
1910,5.9
1911,6.7
1912,4.6
1913,4.3
1914,7.9
1915,8.5
1916,5.1
1917,4.6
1918,1.4
1919,1.4
1920,5.2
1921,11.7
1922,6.7
1923,2.4
1924,5
1925,3.2
1926,1.8
1927,3.3
1928,4.2
1929,3.2
1930,8.7
1931,15.9
1932,23.6
1933,24.9
1934,21.7
1935,20.1
1936,16.9
1937,14.3
1938,19
1939,17.2
1940,14.6
1941,9.9
1942,4.7
1943,1.9
1944,1.2
1945,1.9
1946,3.9
1947,3.9
1948,3.8
1949,5.9
1950,5.3
1951,3.3
1952,3
1953,2.9
1954,5.5
1955,4.4
1956,4.1
1957,4.3
1958,6.8
1959,5.5
1960,5.5
1961,6.7
1962,5.5
1963,5.7
1964,5.2
1965,4.5
1966,3.8
1967,3.8
1968,3.6
1969,3.5
1970,4.9